# 대량 추가 후보 230편. docs/VOCAB-EXPANSION-PLAN.md 의 기계 판독본.
# 열: 권	제목(H1 영문)	읽기(한글)
# 버린 것 3편: RICE · Jobs to be Done · Design Thinking
#   원전이 기업 블로그·단행본이라 1차 출처를 세울 수 없다.
#   사유는 tools/sources.allowlist.md 의 「방법론 · 실천법의 규범 문서」 절에 있다.
cloud	Object Storage	오브젝트 스토리지
cloud	Block Storage	블록 스토리지
cloud	Managed Service	관리형 서비스
cloud	Security Group	보안 그룹
cloud	Spot Instance	스팟 인스턴스
cloud	Reserved Instance	예약 인스턴스
cloud	FinOps	핀옵스
cloud	Well-Architected	잘 설계된 프레임워크
cloud	Container Registry	컨테이너 레지스트리
cloud	Managed Kubernetes	관리형 쿠버네티스
cloud	VPC Peering	VPC 피어링
cloud	Multi-Region	멀티 리전
cloud	Elastic IP	탄력적 IP
cloud	Cloud Migration	클라우드 마이그레이션
infra	Infrastructure as Code	코드형 인프라
infra	Terraform	테라폼
infra	Ansible	앤서블
infra	GitOps	깃옵스
infra	Observability	관측 가능성
infra	Metric	메트릭
infra	Distributed Tracing	분산 추적
infra	OpenTelemetry	오픈텔레메트리
infra	Prometheus	프로메테우스
infra	Grafana	그라파나
infra	Alerting	알림
infra	SRE	사이트 신뢰성 엔지니어링
infra	Postmortem	장애 회고
infra	On-call	온콜
infra	Runbook	런북
infra	Blue-Green Deployment	블루 그린 배포
infra	Canary Release	카나리 배포
infra	Rollback	롤백
infra	Health Check	헬스 체크
infra	Graceful Shutdown	우아한 종료
infra	Load Test	부하 테스트
infra	Chaos Engineering	카오스 엔지니어링
infra	Disaster Recovery (RTO·RPO)	재해 복구
infra	Helm	헬름
infra	Ingress	인그레스
infra	Pod	파드
tool	Git Branch	브랜치
tool	Merge vs Rebase	병합과 리베이스
tool	Pull Request	풀 리퀘스트
tool	Git Commit	커밋
tool	Merge Conflict	병합 충돌
tool	Monorepo	모노레포
tool	Semantic Versioning	유의적 버전
tool	Lock File	잠금 파일
tool	Dependency	의존성
tool	Linter & Formatter	린터와 포매터
tool	Debugger	디버거
tool	Breakpoint	중단점
tool	Shell	셸
tool	Dockerfile	도커파일
tool	Docker Compose	도커 컴포즈
tool	Docker Volume	도커 볼륨
tool	Docker Image	도커 이미지
tool	Git Flow	깃 플로
tool	Trunk Based Development	트렁크 기반 개발
tool	Cherry-pick	체리픽
tool	Git Stash	깃 스태시
tool	Git Tag	깃 태그
tool	Feature Flag	기능 플래그
ai	Temperature & Top-p	온도와 Top p
ai	Structured Output	구조화 출력
ai	Function Calling	함수 호출
ai	Chain of Thought	사고 사슬
ai	Prompt Injection	프롬프트 주입
ai	Jailbreak	탈옥
ai	Eval	평가
ai	Distillation	지식 증류
ai	Quantization	양자화
ai	LoRA	LoRA
ai	Inference vs Training	추론과 학습
ai	Multimodal	멀티모달
ai	Attention	어텐션
ai	Parameter Count	파라미터 수
ai	Open Weight	오픈 웨이트
ai	Prompt Caching	프롬프트 캐싱
ai	Agent Memory	에이전트 메모리
ai	Human in the Loop	사람 개입
pm	Churn Rate	이탈률
pm	DAU MAU	일간 활성 사용자
pm	Cohort Analysis	코호트 분석
pm	Conversion Rate	전환율
pm	NPS	순 추천 지수
pm	Value Proposition	가치 제안
pm	PRD	제품 요구사항 문서
pm	Usability Test	사용성 테스트
pm	Kanban	칸반
pm	Retrospective	회고
pm	Definition of Done	완료 정의
pm	Story Point	스토리 포인트
pm	Stakeholder	이해관계자
pm	Scope Creep	범위 확산
pm	Competitive Analysis	경쟁 분석
